Student ID,Course Name
1,System Administration 
2,Python Data Structures
2,Artificial Intelligence
2,Machine Learning
2,Introduction to Data Science in Python
2,Deep Learning in Python
2,Programming with MATLAB
2,The Data Scientist�s Toolbox
3,C++ For C Programmers
3,Python and Statistics for Financial Analysis
3,Introduction to Mathematical Thinking
3,Getting and Cleaning Data
3,Ruby on Rails
3,Introduction to Big Data
3,Become a Digital Marketer
4,Mastering Data Analysis in Excel
4,Blockchain in Business
4,Network Security
4,"Cyberwar, Surveillance and Security"
5,Java Programming
5,Android App Development
5,Introduction to iOS App Development
6,"Tables, Data & Networking in iOS"
6,Introduction to Game Development
6,Java Programming: Solving Problems with Software
6,Mobile Applications for Android
6,Vector Calculus for Engineers
6,Regression Model
7,Differential Equations for Engineers
8,Statistical Inference
8,Python Data Structures
8,Artificial Intelligence
9,Machine Learning
9,Introduction to Data Science in Python
9,Deep Learning in Python
9,"Programming Foundations with JavaScript, HTML and CSS"
9,Responsive Web Design
9,Introduction to Web Development
9,Introduction to HTML5
10,Product Strategy
11,System Administration 
11,SRS Documents: Requirements and Diagrammatic Notation
11,Software Requirements Prioritization
11,Requirements Gathering for Secure Software Development
12,IT Infrastructure Services
12,MBA Essentials
13,SQL Server
13,Matrix Algebra for Engineers
13,Linear Regression for Business Statistics
13,database fundamentals
14,Database Management Essentials
14,MongoDB Aggregation Framework
14,Applications in Engineering Mechanics
14,Robotics 
14,MOS Transistors
14,Introduction to Power Electronics
14,Embedded Hardware and Operating Systems
14,Advanced Converter Control Techniques
15,Embedded Hardware and Operating Systems
15,Internet of Things
15,Network Security
15,"Cyberwar, Surveillance and Security"
16,Ethical Hacking
17,Access Controls
17,Security & Database Vulnerabilities
17,Cryptography 
17,Cloud Computing Concepts
17,Principles of Computing
17,Algorithms
17,R Programming
17,Programming with MATLAB
18,The Data Scientist�s Toolbox
18,C++ For C Programmers
18,Python and Statistics for Financial Analysis
19,Matrix Algebra for Engineers
20,Introduction to Mathematical Thinking
20,Getting and Cleaning Data
20,Ruby on Rails
20,Introduction to Big Data
20,Become a Digital Marketer
20,Mastering Data Analysis in Excel
20,Blockchain in Business
20,Algorithms
21,R Programming
21,Machine Learning
21,Introduction to Data Science in Python
21,Deep Learning in Python
21,Blockchain in Business
21,Introduction to Mathematical Thinking
21,Getting and Cleaning Data
21,Ruby on Rails
21,Introduction to Big Data
21,Become a Digital Marketer
22,Mastering Data Analysis in Excel
22,Blockchain in Business
22,Health Concepts 
22,Moralities of Everyday Life
23,MBA Essentials
23,Presentation skills: Effective Presentation Delivery
23,Introduction to Philosophy
23,Teaching and Assessing Clinical Skills
23,Health Concepts 
23,Grammar and Punctuation
23,Python Data Structures
23,Artificial Intelligence
23,Cryptography 
24,Algorithms
24,R Programming
25,Machine Learning
25,Introduction to Data Science in Python
25,Deep Learning in Python
25,Blockchain in Business
25,Python Data Structures
25,Artificial Intelligence
25,Cryptography 
25,Algorithms
26,R Programming
26,Machine Learning
26,Introduction to Data Science in Python
26,Deep Learning in Python
26,Blockchain in Business
26,NAN
26,NAN
27,R Programming
27,Programming with MATLAB
27,The Data Scientist�s Toolbox
27,C++ For C Programmers
27,Python and Statistics for Financial Analysis
27,Matrix Algebra for Engineers
27,Introduction to Mathematical Thinking
28,Getting and Cleaning Data
28,Ruby on Rails
29,Introduction to Big Data
29,Become a Digital Marketer
29,Mastering Data Analysis in Excel
30,Blockchain in Business
30,NAN
30,NAN
30,Java Programming
30,Android App Development
30,Introduction to iOS App Development
30,"Tables, Data & Networking in iOS"
31,Introduction to Game Development
31,Java Programming: Solving Problems with Software
31,Mobile Applications for Android
31,NAN
31,NAN
31,Vector Calculus for Engineers
31,Regression Model
32,Differential Equations for Engineers
32,Statistical Inference
32,NAN
32,"Programming Foundations with JavaScript, HTML and CSS"
32,Responsive Web Design
32,Introduction to Web Development
32,Introduction to HTML5
32,NAN
33,NAN
33,Product Strategy
33,System Administration 
33,SRS Documents: Requirements and Diagrammatic Notation
33,Software Requirements Prioritization
33,Requirements Gathering for Secure Software Development
33,IT Infrastructure Services
34,MBA Essentials
34,NAN
34,NAN
34,SQL Server
34,Matrix Algebra for Engineers
34,Linear Regression for Business Statistics
34,database fundamentals
34,Database Management Essentials
34,MongoDB Aggregation Framework
34,NAN
34,Applications in Engineering Mechanics
35,Robotics 
35,MOS Transistors
35,Introduction to Power Electronics
35,Embedded Hardware and Operating Systems
35,Advanced Converter Control Techniques
35,Embedded Hardware and Operating Systems
35,Internet of Things
36,NAN
36,Network Security
37,"Cyberwar, Surveillance and Security"
37,Ethical Hacking
37,Access Controls
38,Security & Database Vulnerabilities
38,Cryptography 
38,Cloud Computing Concepts
38,Principles of Computing
38,Algorithms
38,Programming with MATLAB
38,The Data Scientist�s Toolbox
38,C++ For C Programmers
39,Python and Statistics for Financial Analysis
39,Matrix Algebra for Engineers
39,Introduction to Mathematical Thinking
39,Getting and Cleaning Data
39,Ruby on Rails
39,Introduction to Big Data
40,Become a Digital Marketer
40,Mastering Data Analysis in Excel
40,Blockchain in Business
40,Java Programming
40,Android App Development
40,Introduction to iOS App Development
40,"Tables, Data & Networking in iOS"
40,Introduction to Game Development
41,Java Programming: Solving Problems with Software
41,Mobile Applications for Android
41,Vector Calculus for Engineers
41,Regression Model
41,Differential Equations for Engineers
41,Statistical Inference
41,"Programming Foundations with JavaScript, HTML and CSS"
41,Responsive Web Design
41,Introduction to Web Development
41,Introduction to HTML5
42,Product Strategy
42,System Administration 
42,SRS Documents: Requirements and Diagrammatic Notation
42,Software Requirements Prioritization
42,Requirements Gathering for Secure Software Development
42,IT Infrastructure Services
42,MBA Essentials
42,SQL Server
42,Matrix Algebra for Engineers
43,Linear Regression for Business Statistics
43,database fundamentals
44,Database Management Essentials
44,MongoDB Aggregation Framework
44,Applications in Engineering Mechanics
44,Robotics 
44,MOS Transistors
44,Introduction to Power Electronics
44,Embedded Hardware and Operating Systems
44,Advanced Converter Control Techniques
44,Embedded Hardware and Operating Systems
45,Internet of Things
45,Network Security
45,"Cyberwar, Surveillance and Security"
45,Ethical Hacking
46,Access Controls
46,Security & Database Vulnerabilities
46,Cryptography 
46,Cloud Computing Concepts
46,Principles of Computing
46,Algorithms
47,Getting and Cleaning Data
47,Ruby on Rails
48,Introduction to Big Data
48,Become a Digital Marketer
48,Mastering Data Analysis in Excel
48,Blockchain in Business
48,Java Programming
48,Android App Development
48,Introduction to iOS App Development
48,"Tables, Data & Networking in iOS"
48,Introduction to Game Development
48,Java Programming: Solving Problems with Software
48,Mobile Applications for Android
49,Python Data Structures
49,Artificial Intelligence
49,Cryptography 
49,Algorithms
49,R Programming
50,Machine Learning
50,Introduction to Data Science in Python
50,Deep Learning in Python
50,Blockchain in Business
50,Python Data Structures
50,Artificial Intelligence
50,Cryptography 
50,Algorithms
50,R Programming
50,Machine Learning
51,Introduction to Data Science in Python
51,Deep Learning in Python
51,Blockchain in Business
51,Python Data Structures
52,Artificial Intelligence
52,Cryptography 
52,Algorithms
52,R Programming
52,Machine Learning
52,Introduction to Data Science in Python
52,Deep Learning in Python
52,Blockchain in Business
52,Python Data Structures
52,Artificial Intelligence
52,Cryptography 
53,Algorithms
53,R Programming
53,Machine Learning
53,Introduction to Data Science in Python
53,Deep Learning in Python
53,Blockchain in Business
53,R Programming
53,Programming with MATLAB
53,The Data Scientist�s Toolbox
53,C++ For C Programmers
54,Python and Statistics for Financial Analysis
54,Matrix Algebra for Engineers
54,Introduction to Mathematical Thinking
54,Getting and Cleaning Data
54,Ruby on Rails
54,Introduction to Big Data
54,Become a Digital Marketer
54,Mastering Data Analysis in Excel
54,Blockchain in Business
54,Java Programming
54,Android App Development
55,Introduction to iOS App Development
55,"Tables, Data & Networking in iOS"
55,Introduction to Game Development
55,Java Programming: Solving Problems with Software
55,Mobile Applications for Android
55,Vector Calculus for Engineers
55,Regression Model
55,Differential Equations for Engineers
55,Statistical Inference
56,"Programming Foundations with JavaScript, HTML and CSS"
56,Responsive Web Design
56,Introduction to Web Development
56,Introduction to HTML5
56,Product Strategy
56,System Administration 
56,SRS Documents: Requirements and Diagrammatic Notation
56,Software Requirements Prioritization
56,Requirements Gathering for Secure Software Development
57,IT Infrastructure Services
57,MBA Essentials
57,SQL Server
57,Matrix Algebra for Engineers
58,Linear Regression for Business Statistics
58,database fundamentals
58,Database Management Essentials
